ride_id,timestamp,hour,day,weekday,month,is_weekend,zone_id,weather,traffic_level,event_flag,distance_km,duration_min,fare_usd,surge_multiplier,wait_time_min,driver_earnings_usd,cancelled,demand_score,efficiency,peak_hour,congestion_index,cancellation_risk,zone_demand_density,driver_opportunity_score
5585,2023-01-01 03:01:01,3,1,6,1,1,Z01,Clear,Medium,0,5.92,27.3,20.66,1.0,5.8,16.19,0,0.161,3.49,0,0.422,0.05,0.101,0.449
29142,2023-01-01 03:06:40,3,1,6,1,1,Z05,Clear,Low,0,5.39,23.1,17.29,1.0,5.8,12.76,0,0.1,3.208,0,0.177,0.05,0.051,0.22
13168,2023-01-01 03:31:50,3,1,6,1,1,Z07,Cloudy,Medium,1,5.02,23.2,14.09,1.0,6.8,10.17,0,0.254,2.807,0,0.443,0.05,0.123,0.38
8516,2023-01-01 03:48:34,3,1,6,1,1,Z13,Cloudy,Medium,0,1.76,7.2,13.21,1.0,6.2,10.48,0,0.138,7.506,0,0.416,0.05,0.058,0.233
7958,2023-01-01 04:18:26,4,1,6,1,1,Z11,Fog,Medium,0,2.78,12.9,17.2,1.0,4.3,12.95,0,0.381,6.187,0,0.473,0.05,0.337,1.147
29372,2023-01-01 04:21:34,4,1,6,1,1,Z14,Clear,High,0,7.25,42.7,38.15,1.0,5.0,27.96,0,0.261,5.262,0,0.753,0.05,0.223,1.46
30342,2023-01-01 04:23:11,4,1,6,1,1,Z12,Rainy,Low,0,6.38,22.1,23.98,1.0,4.0,17.48,0,0.112,3.759,0,0.18,0.13,0.061,0.489
19784,2023-01-01 04:27:08,4,1,6,1,1,Z08,Cloudy,Medium,0,7.9,37.8,36.73,1.0,6.3,26.69,0,0.151,4.649,0,0.419,0.05,0.069,0.64
30405,2023-01-01 05:01:04,5,1,6,1,1,Z10,Cloudy,Low,0,12.19,43.6,8.08,1.0,4.9,6.25,0,0.153,0.663,0,0.189,0.05,0.103,0.195
11424,2023-01-01 05:05:44,5,1,6,1,1,Z09,Rainy,High,0,7.62,42.9,9.08,1.0,5.3,7.23,0,0.269,1.192,0,0.754,0.13,0.203,0.367
48129,2023-01-01 05:05:44,5,1,6,1,1,Z18,Rainy,Low,0,9.52,35.8,37.52,1.0,4.5,28.6,0,0.518,3.941,0,0.273,0.13,0.47,3.292
27460,2023-01-01 05:34:28,5,1,6,1,1,Z11,Clear,Medium,0,3.76,20.6,23.61,1.0,3.1,17.15,0,0.208,6.279,0,0.433,0.05,0.184,1.151
46265,2023-01-01 06:23:38,6,1,6,1,1,Z04,Rainy,High,0,11.14,68.5,26.95,1.0,8.9,20.79,0,0.485,2.419,0,0.804,0.13,0.21,1.133
5577,2023-01-01 06:26:51,6,1,6,1,1,Z10,Cloudy,Low,0,13.22,47.1,9.37,1.0,3.2,7.25,0,0.8,0.709,0,0.338,0.05,0.536,1.812
46325,2023-01-01 06:41:34,6,1,6,1,1,Z16,Rainy,Low,0,7.12,26.2,25.71,1.0,4.6,20.01,0,0.712,3.611,0,0.318,0.13,0.454,3.097
43390,2023-01-01 06:51:25,6,1,6,1,1,Z20,Clear,High,0,0.5,4.8,3.0,1.0,9.1,2.39,0,0.591,6.0,0,0.829,0.05,0.341,0.155
26766,2023-01-01 07:00:32,7,1,6,1,1,Z18,Clear,Medium,0,8.2,38.0,48.85,1.54,11.0,35.53,0,1.702,5.957,1,0.777,0.17,1.543,5.497
42480,2023-01-01 07:05:02,7,1,6,1,1,Z15,Clear,High,0,8.22,50.3,30.35,1.02,7.2,24.04,1,1.059,3.692,1,0.937,0.05,0.541,3.536
48071,2023-01-01 07:07:08,7,1,6,1,1,Z13,Clear,Low,0,2.37,7.2,21.18,1.27,7.8,16.42,0,1.054,8.937,1,0.397,0.05,0.443,2.219
47236,2023-01-01 07:08:18,7,1,6,1,1,Z11,Rainy,Medium,0,6.4,30.4,98.16,2.43,12.4,75.17,1,2.241,15.337,1,0.902,0.3,1.983,13.585
18177,2023-01-01 07:15:56,7,1,6,1,1,Z08,Clear,Low,0,5.04,18.8,22.82,1.0,2.3,17.4,0,0.682,4.528,1,0.311,0.05,0.31,5.159
20050,2023-01-01 07:24:53,7,1,6,1,1,Z07,Rainy,Medium,0,3.54,16.0,12.43,1.05,10.3,9.26,0,1.193,3.511,1,0.66,0.25,0.577,1.073
31266,2023-01-01 07:39:26,7,1,6,1,1,Z15,Clear,Medium,0,9.38,40.4,34.29,1.0,8.9,27.25,0,0.834,3.656,1,0.577,0.05,0.426,2.554
22110,2023-01-01 07:57:46,7,1,6,1,1,Z01,Clear,Low,0,9.87,36.4,49.41,1.29,7.2,37.92,0,1.345,5.006,1,0.464,0.05,0.84,7.084
23282,2023-01-01 08:03:37,8,1,6,1,1,Z10,Clear,Medium,0,12.2,57.8,7.58,1.01,8.6,5.95,0,1.107,0.621,1,0.64,0.05,0.742,0.766
1030,2023-01-01 08:05:13,8,1,6,1,1,Z02,Cloudy,Low,0,0.5,4.1,6.77,1.23,10.0,5.17,0,1.41,13.54,1,0.479,0.05,1.069,0.729
24603,2023-01-01 08:48:51,8,1,6,1,1,Z09,Clear,Low,0,5.59,20.9,6.48,1.12,8.0,4.9,0,1.204,1.159,1,0.432,0.05,0.91,0.737
5545,2023-01-01 09:02:16,9,1,6,1,1,Z08,Cloudy,Low,0,1.42,2.9,8.46,1.0,5.0,6.71,0,0.875,5.958,1,0.356,0.05,0.398,1.174
8303,2023-01-01 09:03:40,9,1,6,1,1,Z12,Clear,Low,0,9.11,33.6,32.3,1.03,4.2,25.38,0,1.104,3.546,1,0.409,0.05,0.601,6.671
41640,2023-01-01 09:09:17,9,1,6,1,1,Z04,Clear,Medium,0,11.81,55.3,36.36,1.27,8.9,27.65,1,1.015,3.079,1,0.619,0.05,0.44,3.153
10692,2023-01-01 09:18:48,9,1,6,1,1,Z14,Clear,Medium,0,4.5,25.4,27.79,1.18,7.0,21.8,0,1.487,6.176,1,0.728,0.05,1.269,4.631
44526,2023-01-01 09:22:25,9,1,6,1,1,Z19,Clear,Medium,0,9.12,42.1,23.08,1.05,7.7,17.44,0,1.227,2.531,1,0.668,0.05,0.753,2.779
38080,2023-01-01 09:48:18,9,1,6,1,1,Z20,Fog,Medium,0,2.94,15.1,27.38,1.13,11.5,19.96,0,1.495,9.313,1,0.73,0.17,0.864,2.595
29440,2023-01-01 09:50:45,9,1,6,1,1,Z15,Cloudy,Medium,0,11.47,50.3,43.02,1.09,11.6,32.35,0,1.263,3.751,1,0.676,0.17,0.645,3.522
42695,2023-01-01 09:53:27,9,1,6,1,1,Z04,Rainy,Medium,0,9.52,45.7,21.07,1.0,7.9,16.26,0,1.103,2.213,1,0.639,0.13,0.479,2.27
15065,2023-01-01 09:55:44,9,1,6,1,1,Z05,Clear,Medium,0,4.56,20.8,12.86,1.1,9.0,9.9,0,1.014,2.82,1,0.619,0.05,0.516,1.115
27322,2023-01-01 10:23:15,10,1,6,1,1,Z03,Cloudy,High,0,9.66,60.6,24.38,1.0,8.4,18.34,0,0.916,2.524,0,0.904,0.05,0.842,2.0
44121,2023-01-01 10:29:33,10,1,6,1,1,Z02,Cloudy,Medium,0,1.21,7.8,9.07,1.0,7.9,7.01,0,0.95,7.496,0,0.604,0.05,0.72,0.843
10533,2023-01-01 10:46:41,10,1,6,1,1,Z14,Cloudy,Medium,0,3.91,17.9,19.75,1.0,4.3,15.35,0,0.644,5.051,0,0.533,0.05,0.549,2.299
5285,2023-01-01 10:56:55,10,1,6,1,1,Z17,Rainy,Medium,0,2.98,12.0,20.42,1.0,9.0,16.12,0,0.655,6.852,0,0.536,0.13,0.297,1.173
17771,2023-01-01 11:09:39,11,1,6,1,1,Z20,Snow,Low,0,2.46,10.8,19.1,1.0,4.6,13.86,0,0.984,7.764,0,0.381,0.13,0.569,2.965
40474,2023-01-01 11:12:50,11,1,6,1,1,Z09,Clear,Medium,0,9.3,44.0,10.38,1.0,1.1,7.94,0,0.875,1.116,0,0.587,0.05,0.661,6.316
5129,2023-01-01 11:15:11,11,1,6,1,1,Z02,Cloudy,Medium,0,0.5,2.0,3.18,1.17,4.4,2.51,0,1.125,6.36,0,0.644,0.05,0.853,0.642
8522,2023-01-01 11:17:03,11,1,6,1,1,Z09,Clear,Low,0,7.49,23.7,9.13,1.0,7.2,6.87,0,0.901,1.219,0,0.362,0.05,0.681,0.86
40760,2023-01-01 11:19:30,11,1,6,1,1,Z14,Rainy,Medium,1,3.57,17.3,28.51,1.53,13.1,21.27,0,2.031,7.986,0,0.853,0.3,1.733,3.298
11870,2023-01-01 11:49:43,11,1,6,1,1,Z07,Cloudy,High,0,8.22,52.9,24.55,1.0,9.0,17.82,0,0.641,2.987,0,0.84,0.05,0.31,1.269
48242,2023-01-01 11:54:19,11,1,6,1,1,Z15,Clear,High,0,10.01,66.2,33.99,1.0,6.0,24.83,0,0.577,3.396,0,0.825,0.05,0.295,2.388
9264,2023-01-01 12:07:02,12,1,6,1,1,Z15,Rainy,Low,0,8.69,28.8,33.01,1.0,5.1,24.79,1,0.727,3.799,0,0.322,0.13,0.371,3.534
35690,2023-01-01 12:25:33,12,1,6,1,1,Z12,Cloudy,High,0,10.12,57.6,31.88,1.0,6.8,23.95,0,0.631,3.15,0,0.838,0.05,0.344,2.222
40919,2023-01-01 12:28:33,12,1,6,1,1,Z01,Cloudy,Medium,0,10.9,48.5,49.54,1.3,8.7,38.49,0,1.005,4.545,0,0.617,0.05,0.628,4.446
49171,2023-01-01 12:34:19,12,1,6,1,1,Z16,Rainy,Medium,0,3.27,15.6,14.61,1.16,11.2,11.37,0,1.125,4.468,0,0.644,0.25,0.717,1.142
6137,2023-01-01 13:11:25,13,1,6,1,1,Z16,Clear,Low,0,8.3,29.1,31.06,1.0,6.9,23.07,0,0.728,3.742,0,0.322,0.05,0.464,2.434
11370,2023-01-01 13:16:23,13,1,6,1,1,Z10,Cloudy,Medium,0,13.21,60.4,8.39,1.0,10.9,6.56,0,0.819,0.635,0,0.574,0.17,0.549,0.493
34047,2023-01-01 13:16:57,13,1,6,1,1,Z16,Cloudy,Medium,0,7.06,33.0,26.48,1.0,8.3,19.45,0,0.695,3.751,0,0.545,0.05,0.443,1.629
19825,2023-01-01 13:43:40,13,1,6,1,1,Z17,Clear,High,0,0.5,2.0,3.06,1.0,4.2,2.41,0,0.418,6.12,0,0.789,0.05,0.189,0.24
13978,2023-01-01 13:44:05,13,1,6,1,1,Z11,Clear,Low,1,5.04,18.1,71.17,2.17,7.2,52.98,0,1.555,14.121,0,0.513,0.05,1.376,11.442
16746,2023-01-01 13:44:45,13,1,6,1,1,Z13,Cloudy,Medium,0,1.98,9.3,14.46,1.0,5.9,10.88,0,0.601,7.303,0,0.523,0.05,0.253,1.108
47494,2023-01-01 13:47:47,13,1,6,1,1,Z09,Clear,High,0,9.57,53.3,11.37,1.0,6.5,8.71,0,0.845,1.188,0,0.887,0.05,0.638,1.132
4162,2023-01-01 13:56:26,13,1,6,1,1,Z05,Snow,Medium,0,3.47,17.0,10.45,1.0,6.0,7.98,0,0.889,3.012,0,0.59,0.13,0.453,1.182
9823,2023-01-01 13:59:46,13,1,6,1,1,Z16,Rainy,Low,0,9.32,32.3,32.35,1.0,5.1,25.7,0,1.099,3.471,0,0.407,0.13,0.7,5.538
37644,2023-01-01 14:38:12,14,1,6,1,1,Z03,Fog,High,0,7.7,48.5,25.84,1.23,8.2,19.18,0,1.209,3.356,0,0.971,0.05,1.112,2.828
40588,2023-01-01 14:43:13,14,1,6,1,1,Z08,Clear,Low,0,5.91,22.7,26.71,1.0,4.3,19.85,0,0.408,4.519,0,0.248,0.05,0.185,1.883
20737,2023-01-01 14:44:55,14,1,6,1,1,Z15,Clear,Medium,0,12.98,62.5,47.5,1.0,7.0,34.35,0,0.547,3.659,0,0.511,0.05,0.279,2.684
3127,2023-01-01 14:46:45,14,1,6,1,1,Z15,Cloudy,Low,0,8.81,29.7,31.26,1.0,6.9,22.71,0,0.665,3.548,0,0.307,0.05,0.34,2.189
32295,2023-01-01 15:18:25,15,1,6,1,1,Z07,Rainy,Medium,1,6.29,28.7,16.74,1.0,5.8,12.22,0,0.76,2.661,0,0.56,0.13,0.368,1.601
37324,2023-01-01 15:54:11,15,1,6,1,1,Z08,Clear,Low,0,7.02,23.4,29.04,1.0,2.3,21.41,0,0.413,4.137,0,0.249,0.05,0.188,3.844
26946,2023-01-01 16:29:12,16,1,6,1,1,Z08,Clear,Medium,0,7.7,35.0,31.72,1.0,8.9,24.66,0,0.439,4.119,0,0.486,0.05,0.199,1.216
41306,2023-01-01 17:03:44,17,1,6,1,1,Z17,Snow,Medium,0,2.87,13.5,23.63,1.27,7.6,17.24,1,1.232,8.233,1,0.669,0.13,0.558,2.795
15005,2023-01-01 17:11:34,17,1,6,1,1,Z14,Rainy,High,1,5.35,32.5,56.09,2.04,15.3,44.59,0,2.95,10.484,1,1.373,0.3,2.517,8.597
3449,2023-01-01 17:48:42,17,1,6,1,1,Z12,Cloudy,Low,0,8.5,31.4,29.88,1.02,9.2,22.85,0,1.18,3.515,1,0.426,0.05,0.643,2.931
26965,2023-01-01 17:59:33,17,1,6,1,1,Z17,Clear,High,0,3.56,19.8,24.24,1.0,4.0,18.22,0,0.941,6.809,1,0.909,0.05,0.426,4.286
21182,2023-01-01 17:59:45,17,1,6,1,1,Z06,Cloudy,Medium,0,6.51,31.1,8.9,1.0,6.0,6.92,0,0.692,1.367,1,0.544,0.05,0.28,0.798
7535,2023-01-01 18:15:20,18,1,6,1,1,Z14,Fog,Medium,0,3.27,17.3,30.65,1.97,11.1,23.52,1,2.212,9.373,1,0.895,0.22,1.887,4.687
46504,2023-01-01 18:20:14,18,1,6,1,1,Z14,Rainy,Medium,0,0.6,2.8,4.94,2.12,13.4,3.78,0,2.888,8.233,1,1.051,0.3,2.464,0.815
10327,2023-01-01 18:34:30,18,1,6,1,1,Z02,Cloudy,Medium,0,2.75,15.8,40.21,1.83,13.2,30.09,0,1.552,14.622,1,0.743,0.17,1.177,3.538
9905,2023-01-01 18:51:21,18,1,6,1,1,Z18,Fog,Low,1,7.81,26.9,64.22,2.03,12.6,48.73,1,2.701,8.223,1,0.777,0.22,2.449,10.446
36590,2023-01-01 19:01:42,19,1,6,1,1,Z02,Rainy,Medium,0,3.28,16.0,46.72,1.87,16.4,35.29,0,2.33,14.244,1,0.922,0.3,1.766,5.014
13376,2023-01-01 19:07:15,19,1,6,1,1,Z14,Cloudy,Medium,0,2.31,10.9,22.41,1.79,11.1,16.58,0,2.433,9.701,1,0.946,0.22,2.076,3.634
40069,2023-01-01 19:14:32,19,1,6,1,1,Z08,Clear,Low,0,1.97,6.4,11.3,1.28,7.9,8.36,0,1.035,5.736,1,0.393,0.05,0.47,1.095
25864,2023-01-01 19:32:13,19,1,6,1,1,Z20,Clear,Low,0,1.42,7.1,11.03,1.07,7.3,8.05,0,1.206,7.768,1,0.432,0.05,0.697,1.33
33880,2023-01-01 19:39:18,19,1,6,1,1,Z01,Fog,Low,1,8.54,31.0,64.02,2.1,7.0,46.69,0,1.833,7.496,1,0.577,0.1,1.145,12.226
3446,2023-01-01 19:51:42,19,1,6,1,1,Z02,Clear,High,0,2.26,17.0,26.63,1.56,12.5,19.55,0,1.785,11.783,1,1.104,0.17,1.353,2.792
44941,2023-01-01 19:58:44,19,1,6,1,1,Z12,Clear,Medium,0,6.66,27.5,22.08,1.08,8.6,16.2,0,1.116,3.315,1,0.642,0.05,0.608,2.102
1657,2023-01-01 20:18:27,20,1,6,1,1,Z05,Rainy,Low,0,6.72,25.2,45.87,2.47,6.2,33.32,0,1.634,6.826,1,0.531,0.13,0.832,8.781
39320,2023-01-01 20:34:16,20,1,6,1,1,Z15,Clear,High,0,7.32,43.4,32.09,1.24,12.0,23.16,0,1.051,4.384,1,0.935,0.17,0.537,2.028
6408,2023-01-01 20:44:34,20,1,6,1,1,Z05,Rainy,Low,0,7.56,25.9,25.14,1.23,4.5,19.81,1,1.346,3.325,1,0.464,0.13,0.685,5.925
5081,2023-01-01 20:45:07,20,1,6,1,1,Z10,Clear,Low,0,8.71,32.1,8.44,1.48,5.4,6.1,1,1.62,0.969,1,0.528,0.05,1.086,1.83
36169,2023-01-01 20:45:48,20,1,6,1,1,Z08,Clear,Medium,0,4.88,24.3,24.05,1.11,7.2,19.04,0,1.022,4.928,1,0.62,0.05,0.464,2.703
24869,2023-01-01 20:45:57,20,1,6,1,1,Z01,Clear,Medium,0,6.33,31.2,28.57,1.14,8.8,21.44,0,1.084,4.513,1,0.635,0.05,0.677,2.641
38994,2023-01-01 21:02:18,21,1,6,1,1,Z14,Rainy,Low,0,6.94,26.1,37.53,1.0,3.7,29.23,0,0.95,5.408,0,0.373,0.13,0.811,7.505
10545,2023-01-01 21:03:31,21,1,6,1,1,Z04,Clear,Medium,0,12.3,54.1,30.44,1.0,6.9,22.5,0,0.424,2.475,0,0.482,0.05,0.184,1.383
37779,2023-01-01 21:14:32,21,1,6,1,1,Z11,Rainy,High,1,0.5,2.0,8.68,2.46,10.5,6.8,1,1.712,17.36,0,1.087,0.25,1.515,1.109
20894,2023-01-01 21:54:56,21,1,6,1,1,Z14,Clear,Low,0,6.39,23.1,35.0,1.0,7.3,25.28,0,0.729,5.477,0,0.322,0.05,0.622,2.525
8335,2023-01-01 21:57:06,21,1,6,1,1,Z02,Snow,Medium,0,5.26,24.2,37.35,1.0,4.2,27.24,0,0.856,7.101,0,0.582,0.13,0.649,5.552
48996,2023-01-01 22:01:26,22,1,6,1,1,Z09,Clear,High,0,3.56,21.2,4.13,1.0,10.4,3.1,1,0.996,1.16,0,0.922,0.17,0.752,0.297
7048,2023-01-01 22:02:27,22,1,6,1,1,Z10,Clear,Low,0,8.52,29.3,7.09,1.0,4.6,5.44,0,0.833,0.832,0,0.346,0.05,0.558,0.985
25607,2023-01-01 22:03:51,22,1,6,1,1,Z05,Snow,Medium,0,5.88,22.5,22.01,1.28,11.2,16.08,0,1.357,3.743,0,0.698,0.25,0.691,1.948
45413,2023-01-01 22:16:17,22,1,6,1,1,Z01,Clear,Medium,0,9.76,43.5,41.42,1.15,5.3,30.09,0,1.089,4.244,0,0.636,0.05,0.68,6.183
26884,2023-01-01 22:31:05,22,1,6,1,1,Z18,Cloudy,High,0,6.83,39.4,25.55,1.05,10.6,18.49,0,1.302,3.741,0,0.993,0.17,1.181,2.271
8987,2023-01-01 22:45:03,22,1,6,1,1,Z07,Snow,Low,0,8.0,32.8,21.67,1.03,6.8,16.08,0,1.193,2.709,0,0.429,0.13,0.577,2.821
30231,2023-01-01 23:14:10,23,1,6,1,1,Z02,Cloudy,High,0,6.13,36.4,60.76,1.28,8.3,46.6,0,1.188,9.912,0,0.966,0.05,0.901,6.67
10539,2023-01-01 23:22:24,23,1,6,1,1,Z07,Fog,High,1,3.0,17.8,10.31,1.02,9.0,7.74,0,1.114,3.437,0,0.949,0.05,0.539,0.958
24784,2023-01-01 23:24:35,23,1,6,1,1,Z11,Rainy,Medium,0,2.51,12.6,23.72,1.41,10.9,17.62,1,1.662,9.45,0,0.768,0.25,1.471,2.687
37861,2023-01-01 23:29:07,23,1,6,1,1,Z05,Cloudy,Medium,0,7.5,30.4,20.98,1.0,3.7,16.0,0,0.843,2.797,0,0.579,0.05,0.429,3.645
24724,2023-01-01 23:33:34,23,1,6,1,1,Z03,Clear,Low,0,8.18,30.2,23.54,1.05,7.3,18.59,0,1.44,2.878,0,0.486,0.05,1.324,3.667
4810,2023-01-01 23:33:35,23,1,6,1,1,Z15,Cloudy,High,1,11.55,66.6,43.03,1.0,11.6,33.37,0,0.971,3.726,0,0.916,0.17,0.496,2.793
48717,2023-01-01 23:48:54,23,1,6,1,1,Z08,Clear,Low,0,7.07,25.8,33.2,1.0,3.9,24.37,0,0.551,4.696,0,0.281,0.05,0.25,3.443
21960,2023-01-01 23:49:37,23,1,6,1,1,Z17,Clear,Low,0,3.65,9.5,24.59,1.0,5.4,18.12,0,0.784,6.737,0,0.335,0.05,0.355,2.631
35043,2023-01-01 23:53:23,23,1,6,1,1,Z05,Cloudy,High,0,3.65,24.7,10.26,1.0,10.6,7.65,0,0.977,2.811,0,0.918,0.17,0.497,0.705
43099,2023-01-02 00:04:47,0,2,0,1,0,Z04,Fog,High,1,13.34,81.6,34.01,1.0,1.7,25.42,0,0.273,2.549,0,0.755,0.05,0.118,4.082
44641,2023-01-02 00:07:57,0,2,0,1,0,Z18,Clear,Medium,1,6.64,28.0,26.18,1.0,5.5,19.5,0,0.581,3.943,0,0.519,0.05,0.527,2.06
41212,2023-01-02 00:08:38,0,2,0,1,0,Z08,Clear,Medium,0,7.71,38.8,32.84,1.0,5.8,23.77,0,0.1,4.259,0,0.408,0.05,0.045,0.41
44705,2023-01-02 00:12:42,0,2,0,1,0,Z14,Rainy,High,0,5.34,31.3,29.3,1.0,6.1,22.73,0,0.303,5.487,0,0.762,0.13,0.259,1.129
21339,2023-01-02 00:14:40,0,2,0,1,0,Z14,Clear,Medium,0,1.06,3.1,6.92,1.0,7.7,5.41,0,0.447,6.528,0,0.488,0.05,0.381,0.314
47556,2023-01-02 00:47:11,0,2,0,1,0,Z16,Clear,Medium,0,9.72,45.0,34.64,1.0,6.4,26.67,0,0.141,3.564,0,0.417,0.05,0.09,0.588
6635,2023-01-02 00:47:53,0,2,0,1,0,Z18,Cloudy,Medium,0,2.15,8.4,8.61,1.0,9.7,6.22,0,0.382,4.005,0,0.473,0.05,0.346,0.245
7340,2023-01-02 00:52:24,0,2,0,1,0,Z15,Clear,Medium,0,10.01,43.7,33.05,1.0,7.7,24.49,0,0.357,3.302,0,0.467,0.05,0.182,1.135
29828,2023-01-02 00:52:45,0,2,0,1,0,Z10,Cloudy,Medium,0,12.63,57.1,9.07,1.0,3.8,6.92,0,0.237,0.718,0,0.439,0.05,0.159,0.432
37953,2023-01-02 00:59:28,0,2,0,1,0,Z03,Cloudy,Low,0,9.97,37.6,29.18,1.0,4.5,21.12,0,0.356,2.927,0,0.236,0.05,0.327,1.671
31676,2023-01-02 01:15:56,1,2,0,1,0,Z15,Snow,Medium,1,8.21,36.3,29.51,1.0,6.9,23.42,0,0.291,3.594,0,0.452,0.13,0.149,0.988
45946,2023-01-02 01:22:46,1,2,0,1,0,Z19,Rainy,Medium,0,7.36,31.3,15.03,1.0,4.3,12.02,0,0.321,2.042,0,0.459,0.13,0.197,0.897
36935,2023-01-02 01:33:15,1,2,0,1,0,Z14,Snow,Medium,0,0.5,2.6,3.0,1.0,8.1,2.4,0,0.342,6.0,0,0.464,0.13,0.292,0.101
18460,2023-01-02 01:33:52,1,2,0,1,0,Z16,Cloudy,Low,0,8.51,30.7,30.67,1.0,2.2,23.42,0,0.141,3.604,0,0.186,0.05,0.09,1.501
19990,2023-01-02 01:43:26,1,2,0,1,0,Z12,Clear,High,0,8.74,53.3,27.71,1.0,11.3,20.26,0,0.171,3.17,0,0.732,0.17,0.093,0.307
41859,2023-01-02 01:48:29,1,2,0,1,0,Z05,Snow,High,0,5.63,35.3,15.45,1.0,3.2,11.15,0,0.212,2.744,0,0.741,0.13,0.108,0.739
49062,2023-01-02 01:51:01,1,2,0,1,0,Z05,Clear,Low,1,5.1,15.5,15.06,1.0,4.1,11.57,0,0.392,2.953,0,0.244,0.05,0.2,1.106
3778,2023-01-02 01:59:50,1,2,0,1,0,Z14,Rainy,High,0,6.32,39.4,34.4,1.0,8.6,24.82,0,0.286,5.443,0,0.758,0.13,0.244,0.825
2747,2023-01-02 02:03:24,2,2,0,1,0,Z09,Fog,Medium,0,8.56,37.1,13.3,1.0,4.8,10.06,0,0.291,1.554,0,0.452,0.05,0.22,0.61
7477,2023-01-02 02:03:52,2,2,0,1,0,Z11,Fog,High,0,0.5,2.1,5.13,1.0,6.7,4.07,0,0.162,10.26,0,0.73,0.05,0.143,0.098
29477,2023-01-02 02:29:16,2,2,0,1,0,Z09,Rainy,Low,0,6.64,23.3,9.56,1.0,1.9,7.17,0,0.259,1.44,0,0.214,0.13,0.196,0.977
48567,2023-01-02 02:33:49,2,2,0,1,0,Z16,Clear,Medium,1,11.36,53.0,42.17,1.0,8.2,30.87,0,0.11,3.712,0,0.41,0.05,0.07,0.414
30553,2023-01-02 02:43:42,2,2,0,1,0,Z02,Clear,Low,0,2.66,12.5,21.83,1.0,2.0,15.98,0,0.104,8.207,0,0.178,0.05,0.079,0.831
34392,2023-01-02 03:15:43,3,2,0,1,0,Z20,Clear,Low,0,0.86,4.0,4.18,1.0,2.7,3.3,0,0.375,4.86,0,0.24,0.05,0.217,0.458
27543,2023-01-02 03:18:33,3,2,0,1,0,Z15,Rainy,Medium,0,10.98,47.1,39.28,1.0,6.1,30.74,0,0.168,3.577,0,0.423,0.13,0.086,0.847
28222,2023-01-02 03:24:55,3,2,0,1,0,Z18,Clear,Low,1,7.44,25.4,25.38,1.0,8.0,19.87,0,0.379,3.411,0,0.241,0.05,0.344,0.941
